cpus,arrival_rate,cycles,num_finished,num_missed,miss_pct,idle_cycles,cc_aborts
8,5,197851,996,4,0.004,161013,3
8,10,99058,996,4,0.004,64639,3
8,15,69150,995,5,0.005,35835,2
8,20,52364,994,6,0.006,20536,4
8,25,40092,987,13,0.013,9551,4
8,30,32744,963,37,0.037,2984,3
8,35,29382,833,167,0.167,639,1
8,40,28401,659,341,0.341,146,3
8,45,24781,132,868,0.868,83,1
8,50,22780,48,952,0.952,53,1
8,55,19738,19,981,0.981,20,0
8,60,18714,9,992,0.992,48,0
8,65,18009,8,992,0.992,21,0
8,70,16340,5,995,0.995,111,0
8,75,14953,4,996,0.996,27,0
16,5,199491,1000,0,0.0,174032,0
16,10,99936,997,3,0.003,75589,3
16,15,63004,997,3,0.003,39860,3
16,20,50599,994,6,0.006,28265,6
16,25,40898,995,5,0.005,19718,5
16,30,33561,990,10,0.01,13081,6
16,35,28958,987,13,0.013,9536,10
16,40,26065,986,14,0.014,7093,9
16,45,24040,989,11,0.011,5480,8
16,50,22018,975,25,0.025,4333,16
16,55,18903,970,30,0.03,2180,16
16,60,18414,969,31,0.031,1886,12
16,65,15826,940,60,0.06,516,13
16,70,16526,944,56,0.056,605,11
16,75,14918,920,80,0.08,201,9
32,5,202179,997,3,0.003,177272,1
32,10,99687,997,3,0.003,76621,2
32,15,66563,992,8,0.008,44930,7
32,20,52027,997,3,0.003,31186,2
32,25,39853,996,4,0.004,20341,3
32,30,34241,992,8,0.008,15490,7
32,35,30656,987,13,0.013,12297,15
32,40,25967,989,11,0.011,9281,10
32,45,22764,981,19,0.019,6824,18
32,50,21762,987,13,0.013,5804,14
32,55,21047,985,15,0.015,5355,11
32,60,18314,985,15,0.015,4098,13
32,65,16660,971,29,0.029,3101,31
32,70,15371,985,15,0.015,2353,11
32,75,13899,979,21,0.021,1611,20
16,80,14707,732,268,0.268,1,5
16,85,14737,537,463,0.463,173,8
16,90,13171,133,867,0.867,33,1
16,95,13016,94,906,0.906,49,0
16,100,12408,182,818,0.818,54,1
32,80,13771,988,12,0.012,1709,15
32,85,13350,981,20,0.02,1521,25
32,90,11918,968,32,0.032,966,28
32,95,11900,977,23,0.023,906,17
32,100,11076,974,26,0.026,732,28
32,105,10454,977,23,0.023,508,19
32,110,10748,963,37,0.037,590,44
32,115,10247,958,42,0.042,428,32
32,120,9579,970,30,0.03,303,28
32,125,8929,939,61,0.061,222,43
32,130,9109,960,40,0.04,284,46
32,135,8515,950,50,0.05,91,39
32,140,8169,932,68,0.068,88,37
32,145,7705,911,89,0.089,26,39
32,150,7981,924,76,0.076,33,43
