cpus,arrival_rate,cycles,num_finished,num_missed,miss_pct,idle_cycles,cc_aborts
8,20,51509,938,62,0.062,18898,32
8,25,39776,844,156,0.156,7365,71
8,30,34199,679,322,0.322,2867,60
8,35,29101,276,724,0.724,145,49
8,40,28289,201,799,0.799,402,72
8,45,23808,43,957,0.957,2843,34
8,50,22845,38,963,0.963,3568,36
8,55,20014,28,972,0.972,3428,37
8,60,18840,4,996,0.996,1732,55
8,65,17532,3,997,0.997,2296,48
8,70,16692,4,996,0.996,4729,32
8,75,15752,13,987,0.987,8116,21
16,20,50510,935,65,0.065,27491,66
16,25,45615,919,81,0.081,21968,138
16,30,35049,873,127,0.127,12283,200
16,35,30349,860,140,0.14,8286,216
16,40,27040,855,145,0.145,5961,187
16,45,24106,731,269,0.269,3295,292
16,50,21213,729,271,0.271,1863,254
16,55,19474,557,443,0.443,997,282
16,60,19061,544,456,0.456,403,396
16,65,17181,352,648,0.648,247,308
16,70,16689,297,703,0.703,158,260
16,75,15363,178,822,0.822,104,224
16,80,14552,66,934,0.934,72,303
32,20,53055,955,45,0.045,31223,83
32,25,41665,925,75,0.075,20564,121
32,30,33576,898,102,0.102,13353,169
32,35,30225,889,111,0.111,10919,202
32,40,27286,863,137,0.137,8213,359
32,45,23001,853,147,0.147,4720,356
32,50,21911,819,183,0.183,3997,445
32,55,18965,793,207,0.207,2442,552
32,60,17502,679,321,0.321,1533,786
32,65,17659,740,260,0.26,1350,781
32,70,16023,664,336,0.336,787,849
32,75,15137,556,444,0.444,476,1010
32,80,14410,517,483,0.483,342,1057
32,85,14495,560,440,0.44,139,1102
32,90,12988,418,582,0.582,137,1204
32,95,13175,370,630,0.63,45,1422
32,100,12727,317,683,0.683,161,1235
32,105,11924,260,740,0.74,95,1287
32,110,11625,250,750,0.75,27,1404
32,115,11139,257,743,0.743,16,1268
32,120,10295,159,841,0.841,10,1230
32,125,10229,146,854,0.854,2,1323
32,130,10111,139,861,0.861,7,1322
32,135,9993,94,906,0.906,15,1551
